class1,class2,class3,class4,class5,class6,class7,class8,class9,ID
0.006120608225023615,0.13391196116553125,0.006452838128676942,0.004731168627961098,0.012478596381207048,0.013759496009746157,0.8188637625295089,0.002246139348619589,0.0014354295837254204,0
0.20997188031602826,0.04288187555733094,0.0181516896535369,0.6291126414057945,0.024262886170154888,0.025150885663995176,0.040788076750796265,0.004719187310063234,0.0049608771723000135,1
0.02382308927960982,0.13050094127457645,0.013234994044252678,0.1738269217778852,0.060594372732532265,0.013908893740997814,0.5327007602846577,0.04620057920973935,0.005209447655748554,2
0.04617200507892056,0.12001301320143146,0.0080813008889431,0.02136940235063426,0.021543602369796258,0.016525001817750202,0.7600450836049591,0.0040185004420350496,0.002232090245529927,3
0.12608602521720505,0.1918180383636077,0.013819502763900557,0.3277720655544132,0.0598183119636624,0.02663480532696107,0.2262650452530091,0.017052003410400685,0.01073420214684043,4
0.16351591824204087,0.00981137509431245,0.017900791049604476,0.7406406296796851,0.02908768545615727,0.02224998887500556,0.010286994856502573,0.0026700286649856677,0.0038365880817059594,5
0.026102202610220258,0.1333470133347013,0.0502150050215005,0.04175170417517042,0.3342350334235033,0.02091940209194021,0.3841710384171038,0.00609063060906306,0.0031679703167970317,6
0.30102883142385434,0.01681239058506127,0.023057187087975228,0.5087887150783196,0.043168175825821525,0.08143535439620153,0.008760645094038745,0.008277445364630594,0.008671255144097119,7
0.20690003931100745,0.09659261835259747,0.00918393174494703,0.3455990656638224,0.06314281199713427,0.0583787110919551,0.21024503994655755,0.004516170858072462,0.0054416110339060965,8
0.04290650600691085,0.21319302984702415,0.02845580398381256,0.15351202149168305,0.02640250369635052,0.08949291252900776,0.4300430602060285,0.009872971382215994,0.00612119085696672,9
0.07225437760114295,0.07035197819088676,0.008243827444413494,0.04320838660540016,0.02336839275579825,0.010020696893583965,0.7547047660415226,0.008291987429483899,0.00955558703776802,10
0.09341705329147336,0.1531439234280383,0.05942597028701485,0.14459192770403614,0.07456256271871864,0.037830381084809454,0.4250227874886062,0.0065374667312666345,0.0054679272660363674,11
